Номер задачи;Найденное значение;Известное значение;Ошибка;Вычислений;Время(мс);Количество запусков;Успех
328;-2.9550949109;-2.9578085000;0.0027135891;160;0.0631000000;1;Да
329;-5.2848154660;-5.2925004000;0.0076849340;360;0.1331000000;1;Да
330;-4.3934376520;-4.3956715000;0.0022338480;280;0.1316000000;1;Да
331;-5.7229481494;-5.7293881000;0.0064399506;120;0.0494000000;1;Да
332;-6.1261850070;-6.1263763000;0.0001912930;200;0.0847000000;1;Да
333;-6.3241893551;-6.3250887000;0.0008993449;80;0.0310000000;1;Да
334;-5.2157926872;-5.2255425000;0.0097498128;320;0.1230000000;1;Да
335;-6.1540641935;-6.1613729000;0.0073087065;120;0.0470000000;1;Да
336;-4.6562528899;-4.6609838000;0.0047309101;280;0.1127000000;1;Да
337;-4.7270256264;-4.7270256000;0.0000000264;200;0.0775000000;1;Да
338;-6.1960425804;-6.2009906000;0.0049480196;680;0.2344000000;1;Да
339;-4.5458997801;-4.5527710000;0.0068712199;480;0.3877000000;2;Да
340;-4.2569838798;-4.2570516000;0.0000677202;640;0.4600000000;1;Да
341;-3.4512004293;-3.4565357000;0.0053352707;680;0.2692000000;1;Да
342;-4.3842019590;-4.3842759000;0.0000739410;440;0.1821000000;1;Да
343;-3.8801177346;-3.8816607000;0.0015429654;320;0.1657000000;1;Да
344;-3.7523415911;-3.7529455000;0.0006039089;120;0.0828000000;1;Да
345;-6.5758282367;-6.5795305000;0.0037022633;560;0.3798000000;1;Да
346;-4.1078357572;-4.1108428000;0.0030070428;280;0.1739000000;1;Да
347;-4.2227174524;-4.2263517000;0.0036342476;200;0.1495000000;1;Да
348;-5.2514099655;-5.2572931000;0.0058831345;400;0.1658000000;1;Да
349;-5.8003074754;-5.8042457000;0.0039382246;320;0.1687000000;1;Да
